a1	72.66438
a2	21.5054
a3	-7.24942
a4	-70.44218
a5	-54.77731
a6	-21.21075
a7	67.44018
a8	18.80815
a9	-26.02914
a10	-23.41284
a11	78.64108
a12	-41.19788
a13	20.64788
a14	4.73313
a15	-28.86188
a16	75.84019
a17	-66.91216
a18	-8.59917
a19	15.49775
a20	58.91916
a21	14.34019
a22	-111.05563
a23	-71.52765
a24	30.56073
a25	-29.3383
a26	90.79118
a27	-21.1675
a28	45.19127
a29	-53.24959
a30	17.832
a31	30.77493
a32	32.42383
a33	1.69984
a34	5.18161
a35	3.28867
a36	-10.67887
a37	1.71252
a38	0.03007
a39	30.56073
a40	-83.12608
a41	-4.25731
a42	27.33093
a43	39.57096
a44	-52.43629
a45	36.35614
a46	17.60515
a47	8.0325
a48	1.73672
a49	35.84182
a50	37.54337
a51	61.01162
a52	66.48442
a53	52.13685
a54	53.12989
a55	-46.28934
a56	62.33365
a57	-37.06198
a58	-9.12692
a59	-41.55981
a60	23.13634
a61	22.2307
a62	-19.85011
a63	-117.07243
a64	-29.65542
a65	44.73002
a66	-9.70492
a67	17.49403
a68	41.46896
a69	-71.20484
a70	73.96118
a71	-53.65669
a72	23.46399
a73	54.60091
a74	-50.88756
a75	-72.86394
a76	62.85702
a77	141.14555
a78	148.08435
a79	58.45748
a80	29.50547
a81	101.02195
a82	-44.9129
a83	-17.85118
a84	-10.47347
a85	62.70415
a86	-80.2752
a87	69.44858
a88	28.5325
a89	99.40391
a90	76.96958
a91	-63.4451
a92	86.65448
a93	38.43515
a94	-17.54525
a95	10.65859
a96	-6.15981
a97	40.86874
a98	20.94466
a99	48.29516
a100	22.81832
a101	-78.60457
a102	91.74971
a103	75.83871
a104	-40.16588
a105	-88.15981
a106	89.0032
a107	-17.79512
a108	-107.65779
a109	38.41352
a110	27.81311
a111	28.5325
a112	79.66193
a113	104.04521
a114	-77.83398
a115	19.54679
a116	-11.10891
a117	-65.37984
a118	33.52883
a119	62.2627
a120	-115.28302
a121	-30.33381
a122	66.45009
a123	17.2562
a124	20.64788
a125	-59.91277
a126	77.49876
a127	-18.43861
a128	-2.59657
a129	-7.11781
a130	23.80173
a131	-20.35212
a132	-50.56213
a133	-84.83213
a134	12.44231
a135	70.95277
a136	-22.69522
a137	81.89423
a138	13.1046
a139	-31.86153
a140	-58.58256
a141	-40.16588
